name;city;address;website;instagram
Osteria il matto;Rome, Italy;Via Portuense, 135, 00153 Roma RM, Italy;https://il-matto.eatbu.com/;https://www.instagram.com/osteriailmatto
Osteria da Fortunata - Rinascimento;Rome, Italy;Corso del Rinascimento, 17, 00186 Roma RM, Italy;https://www.osteriadafortunata.it/;https://www.instagram.com/osteria_da_fortunata_italia/
Osteria Sonnino;Rome, Italy;Piazza Sidney Sonnino, 49, 00153 Roma RM, Italy;https://www.osteriasonninotrastevere.it/;https://www.instagram.com/osteria_sonnino/
Osteria il Riposto;Rome, Italy;Via Napoli, 76a, 00184 Roma RM, Italy;http://www.osteriailriposto.it/;https://www.instagram.com/osteriailriposto/
Osteria dei Pontefici;Rome, Italy;Via Gregorio VII, 53, 00165 Roma RM, Italy;https://www.osteriadeipontefici.it/;http://instagram.com//osteriadeipontefici/
Osteria Bonelli;Rome, Italy;Viale dell'Acquedotto Alessandrino, 172/174, 00177 Roma RM, Italy;https://osteriabonelli.it/;https://www.instagram.com/osteriabonelli/
Osteria Di Ponte;Rome, Italy;Via di Panico, 83, 00186 Roma RM, Italy;https://osteriadiponte.it/;https://www.instagram.com/osteriadiponte/
Osteria del Grillo;Rome, Italy;Via del Seminario, 110, 00186 Roma RM, Italy;http://www.osteriadelgrillo.com/;https://www.instagram.com/osteriadelgrillo.roma
Osteria Barberini;Rome, Italy;Via della Purificazione, 21, 00187 Roma RM, Italy;https://osteriabarberini.it/;https://www.instagram.com/osteria_barberini/
Osteria dell'Ingegno;Rome, Italy;P.za di Pietra, 45, 00186 Roma RM, Italy;http://osteriadellingegno.com/;https://www.instagram.com/osteriadellingegno/
Osteria da Fortunata - Cancelleria;Rome, Italy;P.za della Cancelleria, 87, 00186 Roma RM, Italy;https://www.osteriadafortunata.it/;https://www.instagram.com/osteria_da_fortunata_italia/
Come 'na Vorta Pasta e Vino Osteria - Trastevere;Rome, Italy;Via della Pelliccia, 12, 00153 Roma RM, Italy;http://www.pastaevinoroma.it/;https://www.instagram.com/comenavortapastaevino/
Caligola Osteria Sincera;Rome, Italy;Via Leone IV, 123, 00192 Roma RM, Italy;https://www.caligolaosteriasincera.it/;https://www.instagram.com/caligola.osteriasincera/
Osteria dell'Anima;Rome, Italy;Via di Santa Maria dell'Anima, 8, 00186 Roma RM, Italy;http://www.osteriadellanima.com/;https://www.instagram.com/osteriadellanima/
Osteria Romana dal1945 - Aurelia;Rome, Italy;Via Aurelia, 553, 00165 Roma RM, Italy;http://osteriaromana45.it/;https://www.instagram.com/osteriaromana45/
Sampietrino - L'Osteria di San Giovanni;Rome, Italy;Via Domenico Fontana, 16, 00185 Roma RM, Italy;https://sampietrino.com/;https://www.instagram.com/osteriasampietrino
OSTERIA FARUSO;Rome, Italy;Via dei Gracchi, 5, 00192 Roma RM, Italy;https://www.faruso.it/;https://instagram.com
Osteria Pizzeria Come Va?;Rome, Italy;Via di Porta Cavalleggeri, 87, 00165 Roma RM, Italy;https://www.osteriacomeva.it/;https://www.instagram.com/osteria.pizzeria.comeva/
Il Bocconcino I Osteria Roma Centro;Rome, Italy;Via Ostilia, 23, 00184 Roma RM, Italy;https://www.ilbocconcino.com/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=home;https://www.instagram.com/ilbocconcinoalcolosseo/
Osteria Oliva;Rome, Italy;Via dei Serpenti, 110, 00184 Roma RM, Italy;https://www.condominiomonti.com/cucina.php;https://www.instagram.com/osteriaoliva_monti/
Osteria Circo;Rome, Italy;Via dei Cerchi, 77/79, 00186 Roma RM, Italy;https://www.osteriacirco.topimprese.com/;https://www.instagram.com/osteriacirco_official/
Osteria dell'Arco;Rome, Italy;Via Giacomo Pagliari, 11, 00198 Roma RM, Italy;https://osteriadellarco.net/;https://www.instagram.com/osteriadellarco/
Osteria San Giorgio;Rome, Italy;Via Luca della Robbia, 3a, 00153 Roma RM, Italy;http://www.osteriasangiorgio.it/;https://www.instagram.com/osteriasangiorgiotestaccio/
Osteria dal 1931;Rome, Italy;Via di Donna Olimpia, 44, 00152 Roma RM, Italy;https://www.osteriadal1931.com/;https://www.instagram.com/osteria_dal1931
Il Marchese - Osteria Mercato Liquori;Rome, Italy;Via di Ripetta, 162, 00186 Roma RM, Italy;https://ilmarchese.it/;https://www.instagram.com/ilmarcheseroma/
Osteria Flaminio;Rome, Italy;Via Flaminia, 297, 00196 Roma RM, Italy;https://www.osteria-flaminio.it/;https://www.instagram.com/osteriaflaminio/
Osteria Palmira;Rome, Italy;Via Abate Ugone, 29, 00152 Roma RM, Italy;http://www.osteriapalmira.it/;https://www.instagram.com/osteriapalmiraofficial/
Pizzeria della Madonna dei Monti;Rome, Italy;Via della Madonna dei Monti, 110, 00184 Roma RM, Italy;https://www.pizzadellamadonnadeimonti.it/;https://www.instagram.com/pizzadellamadonna
Ristorante Pizza Forum;Rome, Italy;Via di S. Giovanni in Laterano, 34-38, 00184 Roma RM, Italy;https://pizzaforumroma.it/;https://www.instagram.com/pizzaforum/
Dar Poeta;Rome, Italy;Vicolo del Bologna, 45, 00153 Roma RM, Italy;https://www.darpoeta.com/;https://www.instagram.com/darpoeta_trastevere
Pizzeria DA.MA.;Rome, Italy;Via Portuense, 421a, 00149 Roma RM, Italy;https://www.damapizzaecucina.it/;https://www.instagram.com/pizzeria.dama/
Pizza Zizza;Rome, Italy;Via delle Fornaci, 11, 00100 Roma RM, Italy;https://www.pizzazizza.it/contatti/;https://www.instagram.com/pizzazizzaroma/
Pizzeria Ristoro Est! Est! Est!;Rome, Italy;Via Genova, 32, 00184 Roma RM, Italy;https://pizzeriaristoroestestest.com/;https://www.instagram.com/pizzeria.ristoro.estestest/
Emma Pizzeria Restaurant;Rome, Italy;Via del Monte della Farina, 28, 00186 Roma RM, Italy;http://www.emmapizzeria.com/;https://www.instagram.com/emma_pizzeria_restaurant/
Antica pizzeria da Michele Roma EUR;Rome, Italy;Via Stoccolma, 11, 00144 Roma RM, Italy;https://www.damicheleroma.com/;https://www.instagram.com/damicheleroma
Ristorante pizzeria Buona Forchetta;Rome, Italy;Via della Cava Aurelia, 21/25, 00136 Roma RM, Italy;http://www.hostariabuonaforchetta.com/;https://www.instagram.com/explore/locations/1826653427553113/buona-forchetta-roma/
Trieste Pizza;Rome, Italy;Via Urbana, 112, 00184 Roma RM, Italy;https://www.trieste.pizza/;https://www.instagram.com/triestepizzaitalia/
Antica pizzeria da Michele Roma Tuscolana;Rome, Italy;Viale Spartaco, 76, 00174 Roma RM, Italy;https://www.damicheleroma.com/;https://www.instagram.com/damicheleroma
Antica pizzeria da Michele Roma Monte Grappa;Rome, Italy;Piazza Monte Grappa, 1/A, 00195 Roma RM, Italy;https://www.damicheleroma.it/;https://www.instagram.com/damicheleroma
Mastro Pizza;Rome, Italy;Via Giovanni Battista Morgagni, 2, 00161 Roma RM, Italy;https://morgagni.mastropizza.it/;https://www.instagram.com/mastropizza.it/
Pizza Luigi;Rome, Italy;Via Federico Nansen, 6, 00154 Roma RM, Italy;http://www.pizzaluigi.it/;https://www.instagram.com/pizzaluigiroma/
Satiricus Ristorante Pizzeria;Rome, Italy;Via dei Corridori, 58, 00193 Roma RM, Italy;https://www.satiricus.it/;https://www.instagram.com/ristorantesatiricus/
Tatà Pizzeria Griglieria - Pizzeria a Roma;Rome, Italy;Piazza Guglielmo Marconi, 11/a, 00144 Roma RM, Italy;https://tataeur.com/?utm_source=google-my-business;https://www.instagram.com/tatapizzeriagriglieria
Pizzería Chicco di Grano;Rome, Italy;Via degli Zingari, 6, 00184 Roma RM, Italy;https://www.pizzeriaromacentro.com/;https://www.instagram.com/ristorantechiccodigrano/
Pizzeria Sale Prati;Rome, Italy;Viale Giulio Cesare, 28, 00192 Roma RM, Italy;https://www.saleprati.com/;https://www.instagram.com/pizzeriasaleprati/
Daimyo Restaurant Milano;Milan, Italy;V.le Bligny, 29, 20136 Milano MI, Italy;https://daimyo.it/;https://www.instagram.com/daimyosushi_restaurant/
La Gyozeria - CENTRALE;Milan, Italy;Via Carlo Tenca, 18, 20124 Milano MI, Italy;https://lagyozeria.com/;https://www.instagram.com/la.gyozeria/%20
Las Muns;Milan, Italy;Corso di Porta Romana, 52, 20122 Milano MI, Italy;https://lasmuns.com/locales/milan//?utm_source=gbp&utm_medium=botontienda&utm_campaign=perfil&utm_id=tienda&utm_content=MLN;https://www.instagram.com/lasmuns/
DU LAB Asian Food & Cocktail Bar;Milan, Italy;Viale Edoardo Jenner, 16, 20159 Milano MI, Italy;http://dulab.it/;https://instagram.com/dulabdimsum
Flower Burger;Milan, Italy;Corso Garibaldi, 34, 20121 Milano MI, Italy;https://www.flowerburger.it/;https://www.instagram.com/flower_burger
Savô Pizzeria Gourmet;Milan, Italy;Via Gustavo Fara, 10, 20124 Milano MI, Italy;http://www.pizzeriasavo.it/;https://www.instagram.com/pizzeriasavo/
Sa Pizzedda - Porta Venezia;Milan, Italy;Via Lazzaro Palazzi, 10, 20124 Milano MI, Italy;http://www.sapizzedda.it/;https://www.instagram.com/sa_pizzedda/
Ishi Oji;Milan, Italy;Viale Monza, 51, 20127 Milano MI, Italy;https://www.ishifusion.it/;https://www.instagram.com/ishifusion/
Light Sushi Restaurant;Milan, Italy;Piazza Spotorno, 2, 20159 Milano MI, Italy;https://lightsushimilano.com/;http://instagram.com/
Mandarin Garden;Milan, Italy;Via Andegari, 9, 20121 Milano MI, Italy;https://www.mandarinoriental.com/en/milan/la-scala/dine/mandarin-garden?src=loc.yext.momln.ggl;https://instagram.com/mo_milan
Radicetonda;Milan, Italy;Piazza Bruno Buozzi, 5/5, 20135 Milano MI, Italy;http://www.radicetonda.it/;https://www.instagram.com/radicetonda.milano/
Due Tradizioni | Italian & Lebanese restaurant (via Solari);Milan, Italy;Via Andrea Solari, 39, 20144 Milano MI, Italy;https://www.duetradizioni.it/;https://www.instagram.com/due_tradizioni
Lei Poke Sushi Milano;Milan, Italy;Zona MM Lima, Via Vitruvio, 8, 20124 Milano MI, Italy;https://leipokemilano.it/;https://instagram.com/leipokemilano/
Chuck’s;Milan, Italy;Via Bonvesin de la Riva, 3, 20129 Milano MI, Italy;https://www.chucksnyc.com/;https://www.instagram.com/lmnopvins/
Camelia’s Yard – Milano Social Bistrò;Milan, Italy;Via Iginio Ugo Tarchetti, 2, 20121 Milano MI, Italy;https://www.cameliasyard.com/en/;https://www.instagram.com/explore/locations/320312125525472/camelias-yard-milano-social-bistro/
Jamaica a Milano | Home Restaurant;Milan, Italy;Via Jan Palach, 20142 Milano MI, Italy;https://www.jamaicanchef.it/;https://www.instagram.com/jamaicanchef/
Cactus Milano;Milan, Italy;Via Varese, 4, 20121 Milano MI, Italy;https://cactusmilano.it/;https://www.instagram.com/cactus.milano/
ToscaNino Milano;Milan, Italy;Via Melzo, angolo, Via Lambro, 20129 Milano MI, Italy;http://www.toscanino.com/;https://www.instagram.com/toscanino_tastingtuscany/
Ristorante Stendhal Brera;Milan, Italy;Via Ancona, Via S. Marco, 20121 Milano MI, Italy;https://stendhalrestaurants.it/;https://www.instagram.com/stendhal_restaurants/
Sa Pizzedda - Solari;Milan, Italy;Via Bernardino Lanino, 3, 20144 Milano MI, Italy;https://www.sapizzedda.it/;https://www.instagram.com/sa_pizzedda/
Antidoto Bistrot, Lucanda di una giapponese;Milan, Italy;Via Ennio, 6, 20137 Milano MI, Italy;http://www.antidotobistrot.com/;https://www.instagram.com/antidotobistrot/
Bangla & Indian Royal Kitchen;Milan, Italy;Viale Stelvio, 51, 20159 Milano MI, Italy;https://glovoapp.com/it/it/milano/royal-kitchen-mil/;https://www.instagram.com/glovo_it/
La Società Milano;Milan, Italy;Via Panfilo Castaldi, 19, 20124 Milano MI, Italy;https://lasocietamilano.it/;https://www.instagram.com/lasocietamilano/
Bricco Café;Milan, Italy;P.za Sigmund Freud, 1, 20124 Milano MI, Italy;https://www.lagardere-tr.it/it/bricco-cafe;https://www.instagram.com/lagarderecareersitalia/
Mugs & co. Cozy cafe and Bakery;Milan, Italy;Via Emilio Morosini, 4, 20135 Milano MI, Italy;https://www.mugsandco.eu/it/;https://www.instagram.com/mugsandco/
Café Italia;Milan, Italy;Corso Italia, 34, 20122 Milano MI, Italy;https://www.cafeitaliamilano.com/;https://www.instagram.com/cafeitalia_milano/
Loste Café;Milan, Italy;Via Francesco Guicciardini, 3, 20129 Milano MI, Italy;https://lostecafe.com/;https://www.instagram.com/lostecafemilano/
Cafezal Torrefazione Specialty Coffee;Milan, Italy;Via Solferino, 27, 20121 Milano MI, Italy;http://www.cafezal.it/;https://www.instagram.com/cafezal.milano/
Loste Café;Milan, Italy;Via Varesina, 204, 20156 Milano MI, Italy;https://www.lostecafe.com/;https://www.instagram.com/lostecafemilano/
Cafezal Brunch & Specialty Coffee - Bicocca/BiM;Milan, Italy;Viale Piero e Alberto Pirelli, 10, 20126 Milano MI, Italy;https://www.cafezal.it/;https://www.instagram.com/cafezal.milano/
Caffè Napoli Giardino;Milan, Italy;Via Gaetano Giardino, 1, 20123 Milano MI, Italy;https://www.caffenapoli.com/;https://www.instagram.com/caffenapoliexytus/
Crazy Cat Café;Milan, Italy;Via Napo Torriani, 5, 20124 Milano MI, Italy;http://www.crazycatcafe.it/;https://www.instagram.com/crazycatcafe/
Bar Caffè Mozart;Milan, Italy;Via Romagnosi, 2, 20121 Milano MI, Italy;http://caffe-mozart.it/;https://www.instagram.com/caffemozartmilano/
Upcycle Bike Cafè;Milan, Italy;Via Andrea Maria Ampère, 59, 20131 Milano MI, Italy;https://upcyclecafe.it/;https://www.instagram.com/upcyclebikecafe
Piccolo Café & Restaurant;Milan, Italy;Via Rovello, 2, 20121 Milano MI, Italy;http://www.piccolocaferestaurant.it/;https://www.instagram.com/piccolocaferestaurant/
L'Arabesque milano Café;Milan, Italy;Via Francesco Sforza, 2, 20122 Milano MI, Italy;https://larabesque.net/cafe/;https://www.instagram.com/larabesquecafe/
NOWHERE - CAFE;Milan, Italy;Via Vetere, 14, 20123 Milano MI, Italy;https://nowherecoffeeroasters.com/;https://www.instagram.com/nowherecafe.milano/
Café Kitsuné Milano;Milan, Italy;P.za Cordusio, 2, 20121 Milano MI, Italy;https://maisonkitsune.com/mk/the-art-of-coffee-by-cafe-kitsune/?srsltid=AfmBOoro2PjYeIX1gsxh8PW576n7eNxExi_7bOQZhDJ8CK949S6HK6bP;https://www.instagram.com/cafekitsune/
Motta Milano 1928;Milan, Italy;Viale Enrico Forlanini, 20090 Segrate MI, Italy;https://www.autogrill.it/;https://www.instagram.com/autogrill/
Felix Navigli;Milan, Italy;Via Filippo Argelati, 1, 20143 Milano MI, Italy;http://felixnavigli.it/;https://www.instagram.com/felix.navigli/
Luca e Andrea Bar - Ristorante;Milan, Italy;Alzaia Naviglio Grande, 34, 20144 Milano MI, Italy;https://www.lucaeandreabar.it/;https://www.instagram.com/lucaeandreabar/
Nice café;Milan, Italy;V. Roberto Lepetit, 3, 20124 Milano MI, Italy;https://nicecafe.eatbu.com/;https://www.instagram.com/nicecaffemilano_/
EATME & GO;Milan, Italy;Via Torino, 49, 20123 Milano MI, Italy;http://www.eatmeandgo.it/;https://www.instagram.com/eatmeandgo/
Tag Café by Orapesce;Milan, Italy;Piazza Città di Lombardia, 1, 20124 Milano MI, Italy;https://orapesce.it/pages/tag-cafe;https://www.instagram.com/orapesce/
Eutopia - Laboratorio Artigianale Indipendente;Milan, Italy;Via Alessandro Volta, 19, 20121 Milano MI, Italy;http://eutopiamilano.it/;https://www.instagram.com/eutopia_milano
Bar Il Cenacolo;Milan, Italy;barbagiannicenacolo@hotmail.com, Via Giovanni Boccaccio, 33, 20123 Milano MI, Italy;http://barilcenacolomilano.com/;http://barilcenacolomilano.com
AKANE LOUNGE BAR;Milan, Italy;Via Giovanni Battista Morgagni, 28, 20129 Milano MI, Italy;https://www.akaneloungebar.com/;https://instagram.com/akaneloungebar
Onda Listening Bar;Milan, Italy;Via Bonvesin de la Riva, 3, 20129 Milano MI, Italy;https://www.ondalisteningbar.com/;https://www.instagram.com/onda_milano
QUO Bar;Milan, Italy;All'interno di QUO Milano Hostel, Viale Regina Margherita, 20122 Milano MI, Italy;https://www.quomilano.com/bar;https://www.instagram.com/quo_milano/
Caffè Victor Hugo - Bar, Bistrot, Enoteca;Milan, Italy;Via Victor Hugo, 4, 20123 Milano MI, Italy;http://www.caffevictorhugo.it/;https://www.instagram.com/caffevictorhugo/
Base cocktail bar;Milan, Italy;Via Tortona, 40, 20144 Milano MI, Italy;http://base.milano.it/bar/;https://www.instagram.com/base_milano/
Bar U6 – Agorà (Piano Terra);Milan, Italy;Edificio U6, Piazza dell'Ateneo Nuovo, 1, 20126 Milano MI, Italy;https://www.unimib.it/servizi/studenti-e-laureati/opportunita-e-facilities/servizi-ristorazione-e-residenze/servizi-ristorazione;https://www.instagram.com/unimib
LabSolue Bar and Roof Terrace;Milan, Italy;Via Vincenzo Forcella, 6, 20144 Milano MI, Italy;https://www.magnapars.it/labsolue-bar-and-roof-terrace/;https://www.instagram.com/magnaparshotel/
Recreo Bar Sartoria;Milan, Italy;Via Alfredo Albertini, 9, 20154 Milano MI, Italy;http://www.recreobarsartoria.it/;https://www.instagram.com/recreobarsartoria/
Vesta Bar;Milan, Italy;Via Fiori Chiari, 1, 20121 Milano MI, Italy;http://www.vestafiorichiari.com/;https://www.instagram.com/vestafiorichiari/
Idea Hotel Milano San Siro;Milan, Italy;Via Gaetano Airaghi, 125, 20153 Milano MI, Italy;https://sansiro.ideahotel.it/;https://www.instagram.com/ideahotelmilanosansiro/
Hotel Da Vinci Milano;Milan, Italy;Via Senigallia, 6, 20161 Milano MI, Italy;https://www.hoteldavincimilano.it/;https://www.instagram.com/hoteldavincimilano/
Hotel degli Arcimboldi;Milan, Italy;Viale Sarca, 336, 20126 Milano MI, Italy;https://www.hotelarcimboldi.it/;https://www.instagram.com/hoteldegliarcimboldi/
UNA Hotels Expo Fiera Milano;Milan, Italy;Via Giovanni Keplero, 12, 20016 Pero MI, Italy;https://www.unaitalianhospitality.com/it/soggiorni/una-hotels-expo-fiera-milano;https://www.instagram.com/una_esperienze/
Best Western Hotel Madison;Milan, Italy;Via Privata Leopoldo Gasparotto, 8, 20124 Milano MI, Italy;http://www.madisonhotelmilano.com/;https://www.instagram.com/bestwesternhotelmadison/
Klima Hotel Milano Fiere;Milan, Italy;Via Privata Venezia Giulia, 8, 20157 Milano MI, Italy;http://www.klimahotelmilano.com/;https://instagram.com/klima_hotel
Combo, Milano;Milan, Italy;Ripa di Porta Ticinese, 83, 20143 Milano MI, Italy;https://thisiscombo.com/location/milano/;https://www.instagram.com/thisiscombo
iH Hotels Milano Centrale;Milan, Italy;Via Antonio da Recanate, 4, 20124 Milano MI, Italy;https://ih-hotels.com/city-hotel/milano/ih-hotels-milano-centrale/;https://www.instagram.com/ih_milanocentrale/
Just Hotel Milano;Milan, Italy;Via Napo Torriani, 29, 20124 Milano MI, Italy;https://www.justhotelmilano.it/;https://www.instagram.com/justmilanohotel/
eco Hotel Milano;Milan, Italy;Via Vittorio Scialoia, 3, 20161 Milano MI, Italy;https://ecohotelmilano.it/;https://www.instagram.com/ecohotel_milano/
Leonardo Hotel Milan City Center;Milan, Italy;Via Messina, 10, 20154 Milano MI, Italy;https://www.leonardo-hotels.it/milan/leonardo-hotel-milan-city-center?utm_source=gmb&utm_medium=link_site_gmb&utm_campaign=leonardo-hotel-milan-city-center;https://www.instagram.com/leonardohotels/
MEININGER Milano Garibaldi;Milan, Italy;Via Privata Giovanni Calvino, 11, 20154 Milano MI, Italy;https://www.meininger-hotels.com/en/hotels/milano/hotel-milan-garibaldi-station/?utm_source=gmb&utm_medium=referral&utm_campaign=MIL-VC&utm_content=website;https://www.instagram.com/meininger_hotels
iH Hotels Milano Lorenteggio;Milan, Italy;Via Lorenteggio, 278, 20152 Milano MI, Italy;https://ih-hotels.com/city-hotel/milano/ih-hotels-milano-lorenteggio/;https://www.instagram.com/ih_milanolorenteggio/
Royal Garden Hotel;Milan, Italy;Via Giuseppe di Vittorio, 4, 20057 Assago MI, Italy;https://www.rghotel.it/;https://www.instagram.com/royalgardenassago/
Hotel ibis Milano Centro;Milan, Italy;Cin: It015146a12holv2mz, Via Camillo Finocchiaro Aprile, 2, 20124 Milano MI, Italy;https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=0933&merchantid=seo-maps-IT-0933&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps;https://www.instagram.com/all.accor
Eurohotel;Milan, Italy;Via Giuseppe Sirtori, 24, 20129 Milano MI, Italy;http://www.eurohotelmilano.it/;https://www.instagram.com/eurohotelmilano/
ibis Styles Milano Centro;Milan, Italy;V. Ruggero Boscovich, 57/59, 20124 Milano MI, Italy;https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=A024&merchantid=seo-maps-IT-A024&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps;https://www.instagram.com/all.accor
J24 Hotel Milano;Milan, Italy;Viale Edoardo Jenner, 24, 20158 Milano MI, Italy;https://www.j24hotelmilano.it/;https://www.instagram.com/j24hotel_milano/
Embassy Park Hotel;Milan, Italy;Via Papa Giovanni XXIII, 15, 20016 Pero MI, Italy;http://www.embassypero.com/;https://instagram.com/hotelembassypark/
Heart Hotel Milano;Milan, Italy;Piazzale Principessa Clotilde, 10, 20121 Milano MI, Italy;https://hearthotelmilano.it/;https://www.instagram.com/heart_hotel_milano/
